date,cases,deaths,healed,critical,severe
2020-02-21T16:00,19,1,0,0,0
2020-02-22T16:00,74,2,0,0,0
2020-02-23T16:00,149,3,0,0,0
2020-02-24T16:00,222,7,0,27,101
2020-02-25T16:00,311,10,1,35,114
2020-02-26T16:00,385,12,3,36,128
2020-02-27T16:00,588,17,45,56,248
2020-02-28T16:00,821,21,46,64,345
2020-02-29T16:00,1049,29,50,105,401
2020-03-01T16:00,1577,34,83,140,639
2020-03-02T16:00,1885,52,149,166,742
2020-03-03T16:00,2263,79,160,229,1034
2020-03-04T16:00,2703,107,217,295,1344
2020-03-05T16:00,3296,148,414,351,1790
2020-03-06T16:00,3916,197,523,462,2394
2020-03-07T16:00,5061,233,589,567,2651
2020-03-08T16:00,7375,366,622,650,3557
2020-03-09T16:00,9172,463,724,733,4316